Location,Position,Details,Number,lng,lat
Algiers - Algeria,Other,DOJ/ICITAP: 1 SCLEA - 1 FSN - 1 Forensic Laboratory Specialist,3,3.21,36.76
Manama - Bahrain,Other,DOJ/ICITAP,1,50.58,26.21
Dhaka - Bangladesh,Other,1 RAB Advisor - 1 Part-time forensics advisor - Community Policing Advisors,3,90.37,23.7
Jakarta - Indonesia,Other,CVE Coordinator,1,106.8,-6.2
Abu Dhabi - UAE,Other,USIP Hedayah staff ,1,54.36,24.46
