Location,Position,Details,Number,lng,lat
Algiers - Algeria,RSI Field Coordinator,Trans-Sahara,1,3.21,36.76
Athens - Greece,RSI Field Coordinator,Eastern Mediterranean,1,23.71,37.96
New Delhi - India,RSI Field Coordinator,South Asia,1,77.2,28.61
Nairobi - Kenya,RSI Field Coordinator,East Africa,1,36.81,-1.28
Kuala Lumpur - Malaysia,RSI Field Coordinator,Southeast Asia,1,101.68,3.13
Ankara - Turkey,RSI Field Coordinator,Iraq & Neighbors,1,32.93,32.86
